Item1,Item2
andromeda,cassiopeia
andromeda,lacerta
andromeda,pegasus
andromeda,perseus
andromeda,pisces
andromeda,triangulum
antlia,centaurus
antlia,hydra
antlia,pyxis
antlia,vela
apus,ara
apus,chamaeleon
apus,circinus
apus,musca
apus,octans
apus,pavo
apus,triangulum_australe
aquarius,aquila
aquarius,capricorn
aquarius,cetus
aquarius,delphinus
aquarius,equuleus
aquarius,pegasus
aquarius,pisces
aquarius,piscis_austrinus
aquarius,sculptor
aquila,capricorn
aquila,delphinus
aquila,hercules
aquila,ophiuchus
aquila,sagitta
aquila,sagittarius
aquila,scutum
aquila,serpens_cauda
ara,corona_australis
ara,norma
ara,pavo
ara,scorpio
ara,telescopium
ara,triangulum_australe
aries,cetus
aries,perseus
aries,pisces
aries,taurus
aries,triangulum
auriga,camelopardalis
auriga,gemini
auriga,lynx
auriga,perseus
auriga,taurus
bootes,canes_venatici
bootes,coma_berenices
bootes,corona_borealis
bootes,draco
bootes,hercules
bootes,serpens_caput
bootes,ursa_major
bootes,virgo
caelum,columba
caelum,dorado
caelum,eridanus
caelum,horologium
caelum,lepus
caelum,pictor
camelopardalis,cassiopeia
camelopardalis,cepheus
camelopardalis,draco
camelopardalis,lynx
camelopardalis,perseus
camelopardalis,ursa_major
camelopardalis,ursa_minor
cancer,canis_minor
cancer,gemini
cancer,hydra
cancer,leo
cancer,leo_minor
cancer,lynx
canes_venatici,coma_berenices
canes_venatici,ursa_major
canis_major,columba
canis_major,lepus
canis_major,monoceros
canis_major,puppis
canis_minor,gemini
canis_minor,hydra
canis_minor,monoceros
capricorn,microscopium
capricorn,piscis_austrinus
capricorn,sagittarius
carina,centaurus
carina,chamaeleon
carina,musca
carina,pictor
carina,puppis
carina,vela
carina,volans
cassiopeia,cepheus
cassiopeia,lacerta
cassiopeia,perseus
centaurus,circinus
centaurus,crux
centaurus,hydra
centaurus,libra
centaurus,lupus
centaurus,musca
centaurus,vela
cepheus,cygnus
cepheus,draco
cepheus,lacerta
cepheus,ursa_minor
cetus,eridanus
cetus,fornax
cetus,pisces
cetus,sculptor
cetus,taurus
chamaeleon,mensa
chamaeleon,musca
chamaeleon,octans
chamaeleon,volans
circinus,lupus
circinus,musca
circinus,norma
circinus,triangulum_australe
columba,lepus
columba,pictor
columba,puppis
coma_berenices,leo
coma_berenices,ursa_major
coma_berenices,virgo
corona_australis,sagittarius
corona_australis,scorpio
corona_australis,telescopium
corona_borealis,hercules
corona_borealis,serpens_caput
corvus,crater
corvus,hydra
corvus,virgo
crater,hydra
crater,leo
crater,sextans
crater,virgo
crux,musca
cygnus,draco
cygnus,lacerta
cygnus,lyra
cygnus,pegasus
cygnus,vulpecula
delphinus,equuleus
delphinus,pegasus
delphinus,sagitta
delphinus,vulpecula
dorado,horologium
dorado,hydrus
dorado,mensa
dorado,pictor
dorado,reticulum
dorado,volans
draco,hercules
draco,lyra
draco,ursa_major
draco,ursa_minor
equuleus,pegasus
eridanus,fornax
eridanus,horologium
eridanus,hydrus
eridanus,lepus
eridanus,orion
eridanus,phoenix
eridanus,taurus
eridanus,tucana
fornax,phoenix
fornax,sculptor
gemini,lynx
gemini,monoceros
gemini,orion
gemini,taurus
grus,indus
grus,microscopium
grus,phoenix
grus,piscis_austrinus
grus,sculptor
grus,tucana
hercules,lyra
hercules,ophiuchus
hercules,sagitta
hercules,serpens_caput
hercules,vulpecula
horologium,hydrus
horologium,reticulum
hydra,leo
hydra,libra
hydra,lupus
hydra,monoceros
hydra,puppis
hydra,pyxis
hydra,sextans
hydra,virgo
hydrus,mensa
hydrus,octans
hydrus,phoenix
hydrus,reticulum
hydrus,tucana
indus,microscopium
indus,octans
indus,pavo
indus,sagittarius
indus,telescopium
indus,tucana
lacerta,pegasus
leo_minor,lynx
leo_minor,ursa_major
leo,leo_minor
leo,lynx
leo,sextans
leo,ursa_major
leo,virgo
lepus,monoceros
lepus,orion
libra,lupus
libra,ophiuchus
libra,scorpio
libra,serpens_caput
libra,virgo
lupus,norma
lupus,scorpio
lynx,ursa_major
lyra,vulpecula
mensa,octans
mensa,volans
microscopium,piscis_austrinus
microscopium,sagittarius
microscopium,telescopium
monoceros,orion
monoceros,puppis
norma,scorpio
norma,triangulum_australe
octans,octans
octans,pavo
octans,tucana
ophiuchus,sagittarius
ophiuchus,scorpio
ophiuchus,serpens_caput
ophiuchus,serpens_cauda
orion,taurus
pavo,telescopium
pegasus,pisces
pegasus,vulpecula
perseus,taurus
perseus,triangulum
phoenix,sculptor
phoenix,tucana
pictor,puppis
pictor,volans
pisces,triangulum
piscis_austrinus,sculptor
puppis,pyxis
puppis,vela
pyxis,vela
sagitta,vulpecula
sagittarius,scorpio
sagittarius,scutum
sagittarius,serpens_cauda
sagittarius,telescopium
scutum,serpens_cauda
serpens_caput,virgo
